FREQ,REF_AREA,Territorio,DATA_TYPE,Indicatore,CATEG_OF_BENEFICIARIES,Area di utenza,CATEGORY_OF_SERVICE,Servizio o intervento,TIME_PERIOD,Osservazione
A,T03040,Distretto di Bellano,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,496
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2023,188638
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2023,40417
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2023,5164
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2023,70863
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2023,9887
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2023,0
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,7281575
A,T03041,Distretto di Lecco,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,296
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2023,78150
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2023,0
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2023,2678
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2023,60709
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2023,4409
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2023,10789
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,3953289
A,T03042,Distretto di Merate,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,209
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2023,32472
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2023,0
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2023,17875
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2023,353306
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2023,0
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2023,0
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,7058664
A,T03054,Distretto di Carate Brianza,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,289
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2022,6663810
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2022,994154
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2022,306694
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2022,10311779
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2022,5106837
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2022,87461
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,628884393
A,ITC4,Lombardia,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,397
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2022,188876
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2022,54605
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2022,5500
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2022,84044
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2022,7000
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2022,11000
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,4554509
A,T03010,Distretto Isola Bergamasca,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,192
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2022,167638
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2022,94065
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2022,0
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2022,77193
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2022,1986
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2022,0
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,3575871
A,T03040,Distretto di Bellano,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,466
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2022,204036
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2022,42861
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2022,5250
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2022,62801
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2022,34746
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2022,0
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,6950826
A,T03041,Distretto di Lecco,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,278
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2022,79634
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2022,2800
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2022,0
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2022,44583
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2022,4409
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2022,0
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,3496454
A,T03042,Distretto di Merate,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,182
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2022,92715
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2022,0
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2022,9150
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2022,234153
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2022,5459
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2022,0
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,7016579
A,T03054,Distretto di Carate Brianza,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2022,283
