codice_comune,comune_key,comune_fonte,anno,pop_totale,pop_15_29,m0602_corrente_impegni,m0602_capitale_impegni,spesa_corrente_totale_impegni,eur_m0602_per_abitante,eur_m0602_per_giovane_15_29,pct_spesa_corrente_m0602,m0602_zero,dato_bilancio_mancante
016026,bianzano,COMUNE DI BIANZANO,2024,617,68,0.0,0.0,539850.0,0.0,0.0,0.0,True,False
016027,blello,COMUNE DI BLELLO,2024,74,12,0.0,0.0,147944.13999999998,0.0,0.0,0.0,True,False
016028,bolgare,COMUNE DI BOLGARE,2024,6680,1070,0.0,0.0,5793709.76,0.0,0.0,0.0,True,False
016029,boltiere,COMUNE DI BOLTIERE,2024,6253,1015,0.0,0.0,3607487.14,0.0,0.0,0.0,True,False
016030,bonate sopra,COMUNE DI BONATE SOPRA,2024,10466,1586,2870.81,0.0,6401436.24,0.274298681444678,1.810094577553594,0.04484634217023772,False,False
016031,bonate sotto,COMUNE DI BONATE SOTTO,2024,6612,1033,0.0,0.0,4144399.6,0.0,0.0,0.0,True,False
016032,borgo di terzo,COMUNE DI BORGO DI TERZO,2024,1196,205,0.0,0.0,770684.03,0.0,0.0,0.0,True,False
016033,bossico,COMUNE DI BOSSICO,2024,970,138,0.0,0.0,802549.59,0.0,0.0,0.0,True,False
016034,bottanuco,COMUNE DI BOTTANUCO,2024,5084,759,0.0,0.0,3282087.89,0.0,0.0,0.0,True,False
016035,bracca,COMUNE DI BRACCA,2024,714,102,0.0,0.0,740534.38,0.0,0.0,0.0,True,False
016036,branzi,COMUNE DI BRANZI,2024,631,90,0.0,0.0,1360246.21,0.0,0.0,0.0,True,False
016037,brembate,COMUNE DI BREMBATE,2024,8598,1343,0.0,0.0,5389491.5,0.0,0.0,0.0,True,False
016038,brembate di sopra,COMUNE DI BREMBATE DI SOPRA,2024,7979,1292,0.0,0.0,5252278.39,0.0,0.0,0.0,True,False
016040,brignano gera d adda,COMUNE DI BRIGNANO GERA D'ADDA,2024,6154,909,0.0,0.0,3599758.81,0.0,0.0,0.0,True,False
016041,brumano,COMUNE DI BRUMANO,2024,129,14,0.0,0.0,192770.63,0.0,0.0,0.0,True,False
016042,brusaporto,COMUNE DI BRUSAPORTO,2024,5641,984,17090.03,0.0,3498421.37,3.0296099982272646,17.367916666666666,0.48850690618780435,False,False
016043,calcinate,COMUNE DI CALCINATE,2024,6207,1077,0.0,350000.0,3733856.78,0.0,0.0,0.0,True,False
016044,calcio,COMUNE DI CALCIO,2024,5491,945,0.0,0.0,3642867.46,0.0,0.0,0.0,True,False
016046,calusco d adda,COMUNE DI CALUSCO D'ADDA,2024,8340,1280,0.0,0.0,5710505.68,0.0,0.0,0.0,True,False
016047,calvenzano,COMUNE DI CALVENZANO,2024,4444,696,0.0,0.0,2745092.55,0.0,0.0,0.0,True,False
016048,camerata cornello,COMUNE DI CAMERATA CORNELLO,2024,551,104,0.0,0.0,1081388.8,0.0,0.0,0.0,True,False
016049,canonica d adda,COMUNE DI CANONICA D'ADDA,2024,4275,668,0.0,0.0,2538058.35,0.0,0.0,0.0,True,False
016050,capizzone,COMUNE DI CAPIZZONE,2024,1214,201,0.0,0.0,866091.56,0.0,0.0,0.0,True,False
016051,capriate san gervasio,COMUNE DI CAPRIATE SAN GERVASIO,2024,8243,1211,0.0,0.0,5554620.71,0.0,0.0,0.0,True,False
016052,caprino bergamasco,COMUNE DI CAPRINO BERGAMASCO,2024,3042,460,0.0,52699.0,2146015.86,0.0,0.0,0.0,True,False
016053,caravaggio,COMUNE DI CARAVAGGIO,2024,16332,2488,19012.6,0.0,12986311.21,1.1641317658584374,7.641720257234726,0.14640493125838155,False,False
016055,carobbio degli angeli,COMUNE DI CAROBBIO DEGLI ANGELI,2024,4891,866,0.0,0.0,2977557.94,0.0,0.0,0.0,True,False
016056,carona,COMUNE DI CARONA,2024,282,36,0.0,0.0,858861.57,0.0,0.0,0.0,True,False
016057,carvico,COMUNE DI CARVICO,2024,4661,687,9800.0,0.0,2870656.71,2.1025531001930915,14.264919941775837,0.34138529925439953,False,False
016058,casazza,COMUNE DI CASAZZA,2024,3791,677,0.0,0.0,2777376.4,0.0,0.0,0.0,True,False
016059,casirate d adda,COMUNE DI CASIRATE D'ADDA,2024,4069,676,0.0,0.0,2607498.26,0.0,0.0,0.0,True,False
016060,casnigo,COMUNE DI CASNIGO,2024,3036,450,13794.3,0.0,2565321.4,4.543577075098814,30.654,0.5377220959525774,False,False
016061,cassiglio,COMUNE DI CASSIGLIO,2024,104,20,0.0,0.0,212961.94,0.0,0.0,0.0,True,False
016062,castelli calepio,COMUNE DI CASTELLI CALEPIO,2024,10389,1645,0.0,0.0,6029048.82,0.0,0.0,0.0,True,False
016063,castel rozzone,COMUNE DI CASTEL ROZZONE,2024,2786,403,0.0,0.0,1731242.98,0.0,0.0,0.0,True,False
016064,castione della presolana,COMUNE DI CASTIONE DELLA PRESOLANA,2024,3284,508,13000.0,0.0,6104644.17,3.958587088915956,25.590551181102363,0.2129526248865706,False,False
016065,castro,COMUNE DI CASTRO,2024,1207,183,0.0,0.0,961056.17,0.0,0.0,0.0,True,False
016066,cavernago,COMUNE DI CAVERNAGO,2024,2869,492,0.0,0.0,2165202.98,0.0,0.0,0.0,True,False
016067,cazzano sant andrea,COMUNE DI CAZZANO SANT'ANDREA,2024,1690,288,0.0,0.0,1038939.07,0.0,0.0,0.0,True,False
016068,cenate sopra,COMUNE DI CENATE SOPRA,2024,2527,479,0.0,0.0,1610503.54,0.0,0.0,0.0,True,False
016069,cenate sotto,COMUNE DI CENATE SOTTO,2024,3904,645,0.0,0.0,2563539.14,0.0,0.0,0.0,True,False
016070,cene,COMUNE DI CENE,2024,4073,605,0.0,0.0,4823811.8,0.0,0.0,0.0,True,False
016071,cerete,COMUNE DI CERETE,2024,1648,243,0.0,11500.0,1242337.41,0.0,0.0,0.0,True,False
016072,chignolo d isola,COMUNE DI CHIGNOLO D'ISOLA,2024,3407,498,0.0,0.0,2181777.69,0.0,0.0,0.0,True,False
016073,chiuduno,COMUNE DI CHIUDUNO,2024,6168,1051,0.0,0.0,4280175.87,0.0,0.0,0.0,True,False
016074,cisano bergamasco,COMUNE DI CISANO BERGAMASCO,2024,6215,980,0.0,0.0,4359371.56,0.0,0.0,0.0,True,False
016075,ciserano,COMUNE DI CISERANO,2024,5678,968,0.0,0.0,4819651.14,0.0,0.0,0.0,True,False
016076,cividate al piano,COMUNE DI CIVIDATE AL PIANO,2024,5025,775,0.0,0.0,3459423.98,0.0,0.0,0.0,True,False
016077,clusone,COMUNE DI CLUSONE,2024,8600,1328,23794.95,0.0,11028988.34,2.7668546511627907,17.917884036144578,0.21574916271966973,False,False
016078,colere,COMUNE DI COLERE,2024,1093,156,0.0,0.0,1152521.43,0.0,0.0,0.0,True,False
016079,cologno al serio,COMUNE DI COLOGNO AL SERIO,2024,11105,1759,6918.65,0.0,8048747.0,0.6230211616389013,3.933285957930642,0.08595934249144618,False,False
016080,colzate,COMUNE DI COLZATE,2024,1619,249,1691.29,0.0,1384959.47,1.044651019147622,6.792329317269076,0.12211837505974091,False,False
016081,comun nuovo,COMUNE DI COMUN NUOVO,2024,4438,731,0.0,0.0,2752878.33,0.0,0.0,0.0,True,False
016082,corna imagna,COMUNE DI CORNA IMAGNA,2024,916,163,0.0,0.0,640063.55,0.0,0.0,0.0,True,False
016083,cortenuova,COMUNE DI CORTENUOVA,2024,1978,360,0.0,0.0,2047994.83,0.0,0.0,0.0,True,False
016084,costa di mezzate,COMUNE DI COSTA DI MEZZATE,2024,3431,619,29113.16,0.0,2274087.47,8.48532789274264,47.03256865912763,1.2802128495083787,False,False
016085,costa valle imagna,COMUNE DI COSTA VALLE IMAGNA,2024,562,80,0.0,0.0,1232562.2,0.0,0.0,0.0,True,False
016086,costa volpino,COMUNE DI COSTA VOLPINO,2024,8788,1347,0.0,0.0,5862852.92,0.0,0.0,0.0,True,False
016087,covo,COMUNE DI COVO,2024,4344,700,0.0,0.0,2769706.63,0.0,0.0,0.0,True,False
016088,credaro,COMUNE DI CREDARO,2024,3530,591,0.0,0.0,1923079.94,0.0,0.0,0.0,True,False
016089,curno,COMUNE DI CURNO,2024,7525,1235,0.0,0.0,5543724.47,0.0,0.0,0.0,True,False
016090,cusio,COMUNE DI CUSIO,2024,204,22,0.0,0.0,409861.5,0.0,0.0,0.0,True,False
016091,dalmine,COMUNE DI DALMINE,2024,23614,3948,0.0,0.0,24496927.04,0.0,0.0,0.0,True,False
016092,dossena,COMUNE DI DOSSENA,2024,882,119,0.0,0.0,1108231.6,0.0,0.0,0.0,True,False
016093,endine gaiano,COMUNE DI ENDINE GAIANO,2024,3435,530,0.0,0.0,2317623.42,0.0,0.0,0.0,True,False
016094,entratico,COMUNE DI ENTRATICO,2024,1980,328,0.0,0.0,1367098.19,0.0,0.0,0.0,True,False
016096,fara gera d adda,COMUNE DI FARA GERA D'ADDA,2024,8012,1195,3294.78,0.0,4965510.11,0.4112306540189716,2.7571380753138075,0.06635330362865781,False,False
016097,fara olivana con sola,COMUNE DI FARA OLIVANA CON SOLA,2024,1353,177,0.0,0.0,981124.22,0.0,0.0,0.0,True,False
016098,filago,COMUNE DI FILAGO,2024,3052,467,0.0,0.0,2889325.8000000003,0.0,0.0,0.0,True,False
016099,fino del monte,COMUNE DI FINO DEL MONTE,2024,1141,180,0.0,0.0,833926.1799999999,0.0,0.0,0.0,True,False
